url,no of dots,presence of hyphen,len of url,presence of at,presence of double slash,no of subdir,no of subdomain,len of domain,no of queries,is IP,presence of Suspicious_TLD,presence of suspicious domain,label
businessdictionary.com,0,0,22,0,0,0,0,0,0,0,0,0,0
philips.com,0,0,11,0,0,0,0,0,0,0,0,0,0
classicdb.ch,0,0,12,0,0,0,0,0,0,0,0,0,0
lowes.com,0,0,9,0,0,0,0,0,0,0,0,0,0
zt.tim-taxi.com/login.php,0,0,25,0,0,1,1,0,0,0,0,0,1
litres.ru,0,0,9,0,0,0,0,0,0,0,0,0,0
bilutv.org,0,0,10,0,0,0,0,0,0,0,0,0,0
tirto.id,0,0,8,0,0,0,0,0,0,0,0,0,0
eetho.cruisingsmallship.com/fustochoox/areltussen/hoogroxuga/files/,0,0,67,0,0,5,1,0,0,0,0,0,1
99protect.com,0,0,13,0,0,0,0,0,0,0,0,0,0
soha.vn,0,0,7,0,0,0,0,0,0,0,0,0,0
dropified.com,0,0,13,0,0,0,0,0,0,0,0,0,0
castorama.fr,0,0,12,0,0,0,0,0,0,0,0,0,0
arkinsoftware.in/images/inexsabit.exe,0,0,37,0,0,2,0,0,0,0,0,0,1
corneey.com,0,0,11,0,0,0,0,0,0,0,0,0,0
indiegogo.com,0,0,13,0,0,0,0,0,0,0,0,0,0
securitywebservices.com/hD08940x9A.js,0,0,37,0,0,1,0,0,0,0,0,0,1
food.tmall.com,0,0,14,0,0,0,1,0,0,0,0,0,0
techacademy.jp,0,0,14,0,0,0,0,0,0,0,0,0,0
japantoday.com,0,0,14,0,0,0,0,0,0,0,0,0,0
suzuki.co.jp,0,0,12,0,0,0,0,0,0,0,0,0,0
epwk.com,0,0,8,0,0,0,0,0,0,0,0,0,0
nexusmods.com,0,0,13,0,0,0,0,0,0,0,0,0,0
mi.com,0,0,6,0,0,0,0,0,0,0,0,0,0
feedly.com,0,0,10,0,0,0,0,0,0,0,0,0,0
highporn.net,0,0,12,0,0,0,0,0,0,0,0,0,0
hrw.com,0,0,7,0,0,0,0,0,0,0,0,0,0
ksu.edu.sa,0,0,10,0,0,0,0,0,0,0,0,0,0
wikiwand.com,0,0,12,0,0,0,0,0,0,0,0,0,0
hola.com,0,0,8,0,0,0,0,0,0,0,0,0,0
ggbtc.com,0,0,9,0,0,0,0,0,0,0,0,0,0
ambito.com,0,0,10,0,0,0,0,0,0,0,0,0,0
directxex.com/uploads/744646896.rbsrb.exe,0,0,41,0,0,2,0,0,0,0,0,0,1
boredpanda.com,0,0,14,0,0,0,0,0,0,0,0,0,0
insightsonindia.com,0,0,19,0,0,0,0,0,0,0,0,0,0
eroov.iptvdeals.com/wheedessyh/uptoowhooj/urognotchy/files/,0,0,59,0,0,5,1,0,0,0,0,0,1
orientacionandujar.es,0,0,21,0,0,0,0,0,0,0,0,0,0
domainmarket.com,0,0,16,0,0,0,0,0,0,0,0,0,0
bigcartel.com,0,0,13,0,0,0,0,0,0,0,0,0,0
shopclues.com,0,0,13,0,0,0,0,0,0,0,0,0,0
jntufastupdates.com,0,0,19,0,0,0,0,0,0,0,0,0,0
lohaco.jp,0,0,9,0,0,0,0,0,0,0,0,0,0
securitywebservices.com/nuLwjhUDt4.js,0,0,37,0,0,1,0,0,0,0,0,0,1
zazzle.com,0,0,10,0,0,0,0,0,0,0,0,0,0
madmimi.com,0,0,11,0,0,0,0,0,0,0,0,0,0
www.sanseracingteam.com/wordpress/,0,0,34,0,0,2,1,0,0,0,0,0,1
tube8vidspeq.ddns.name/2013/girl-fucked-by-dog.avi.exe,0,0,54,0,0,2,1,0,0,0,0,0,1
cnrs.fr,0,0,7,0,0,0,0,0,0,0,0,0,0
e-mansion.co.jp,0,0,15,0,0,0,0,0,0,0,0,0,0
mta.info,0,0,8,0,0,0,0,0,0,0,0,0,0
nios.ac.in,0,0,10,0,0,0,0,0,0,0,0,0,0
onlinepluss.com,0,0,15,0,0,0,0,0,0,0,0,0,0
alsolta.net,0,0,11,0,0,0,0,0,0,0,0,0,0
gizmochina.com,0,0,14,0,0,0,0,0,0,0,0,0,0
jiashi.tmall.com,0,0,16,0,0,0,1,0,0,0,0,0,0
militaire.gr,0,0,12,0,0,0,0,0,0,0,0,0,0
iconfinder.com,0,0,14,0,0,0,0,0,0,0,0,0,0
www.3difx.com/serv010.html,0,0,26,0,0,1,1,0,0,0,0,0,1
muji.net,0,0,8,0,0,0,0,0,0,0,0,0,0
www.gob.mx,0,0,10,0,0,0,0,0,0,0,0,0,0
jimmychoo.jp,0,0,12,0,0,0,0,0,0,0,0,0,0
5acbd.com,0,0,9,0,0,0,0,0,0,0,0,0,0
www.torgi.kz/help/id2.txt,0,0,25,0,0,2,1,0,0,0,0,0,1
bendibao.com,0,0,12,0,0,0,0,0,0,0,0,0,0
vaipsona.com,0,0,12,0,0,0,0,0,0,0,0,0,0
yourdictionary.com,0,0,18,0,0,0,0,0,0,0,0,0,0
v-s.mobi,0,0,8,0,0,0,0,0,0,0,0,0,0
maranhesduve.club,0,0,17,0,0,0,0,0,0,0,0,0,0
neumashop.cl/bmfbnoou,0,0,21,0,0,1,0,0,0,0,0,0,1
fx678.com,0,0,9,0,0,0,0,0,0,0,0,0,0
coinexchange.io,0,0,15,0,0,0,0,0,0,0,0,0,0
bestanimegame.com,0,0,17,0,0,0,0,0,0,0,0,0,0
furla.com,0,0,9,0,0,0,0,0,0,0,0,0,0
atlassian.net,0,0,13,0,0,0,0,0,0,0,0,0,0
portaldasfinancas.gov.pt,0,0,24,0,0,0,0,0,0,0,0,0,0
carfax.com,0,0,10,0,0,0,0,0,0,0,0,0,0
tiscali.it,0,0,10,0,0,0,0,0,0,0,0,0,0
autotrader.ca,0,0,13,0,0,0,0,0,0,0,0,0,0
anitube.biz,0,0,11,0,0,0,0,0,0,0,0,0,0
civilica.com,0,0,12,0,0,0,0,0,0,0,0,0,0
maxicours.com,0,0,13,0,0,0,0,0,0,0,0,0,0
jimdofree.com,0,0,13,0,0,0,0,0,0,0,0,0,0
sunat.gob.pe,0,0,12,0,0,0,0,0,0,0,0,0,0
uc.cn,0,0,5,0,0,0,0,0,0,0,0,0,0
sarkariresult.com,0,0,17,0,0,0,0,0,0,0,0,0,0
datadoghq.com,0,0,13,0,0,0,0,0,0,0,0,0,0
ku.ac.th,0,0,8,0,0,0,0,0,0,0,0,0,0
bluesnap.com,0,0,12,0,0,0,0,0,0,0,0,0,0
moluch.ru,0,0,9,0,0,0,0,0,0,0,0,0,0
upgrad.com,0,0,10,0,0,0,0,0,0,0,0,0,0
vidstream.to,0,0,12,0,0,0,0,0,0,0,0,0,0
alwafd.news,0,0,11,0,0,0,0,0,0,0,0,0,0
xinxian8.com,0,0,12,0,0,0,0,0,0,0,0,0,0
flaticon.com,0,0,12,0,0,0,0,0,0,0,0,0,0
